kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,pedicellaris,Salix pedicellaris,Salix pedicellaris,Salix_pedicellaris,1,NO,Salix pedicellaris,NA,woody,shrub,broadleaved,415.42,18.547459952305445,66.62893316,4.179390393112581,2.9046398018528543,0.43886428548559997,0.34891395135068676,0.31107743600160925,0.4208222079729952
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,pyrifolia,Salix pyrifolia,Salix pyrifolia,Salix_pyrifolia,1,NO,Salix pyrifolia,Salix pyrifolia,woody,shrub/tree,broadleaved,2145.2721379803975,21.847169670544346,54.46583510098989,7.9248,11.492584752548824,0.44538055515285374,0.3354124824319355,0.29420921530917254,0.433487214970152
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,serissima,Salix serissima,Salix serissima,Salix_serissima,1,NO,Salix serissima,Salix serissima,woody,shrub,broadleaved,1183.151954615385,19.201388790623565,63.907510367323944,4.196060848007887,0.14,0.4408129478071715,0.3481929542048773,0.30726246113094274,0.41381244333666195
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,Salsola,Salsola,kali,Salsola kali,Salsola kali,Salsola_kali,1,NO,Salsola kali,Salsola kali,non-woody,succulent,scale-shaped,29.92,37.185,119.8737429,0.395737072,2.1215,0.2110536512760001,0.095,0.14565,0.14565
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Schizachne,Schizachne,purpurascens,Schizachne purpurascens,Schizachne purpurascens,Schizachne_purpurascens,1,NO,Schizachne purpurascens,NA,non-woody,herbaceous graminoid,broadleaved,1420.7154794323046,14.3,64.9929670390038,1.0490232165195108,2.65,0.32974165623000007,0.33437293106194454,0.29907030618183844,0.30270579169304435
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Schizachyrium,Schizachyrium,scoparium,Schizachyrium scoparium,Schizachyrium scoparium,Schizachyrium_scoparium,1,NO,Schizachyrium scoparium,Schizachyrium scoparium,non-woody,herbaceous graminoid,broadleaved,570.95,11.98549732,54.253840340000004,0.769662042,0.7902,0.3160866,0.34817000055211644,0.312023729817342,0.3160866
Plantae,Tracheophyta,A,Liliopsida,Poales,Cyperaceae,Cyperaceae,Scirpus,Scirpus,cyperinus,Scirpus cyperinus,Scirpus cyperinus,Scirpus_cyperinus,1,NO,Scirpus cyperinus,Scirpus cyperinus,non-woody,herbaceous graminoid,broadleaved,4508.912192941181,18.20662182444315,66.01964832874182,1.49,0.0193,0.3094341416016696,0.3021402851560335,0.2629403344389738,0.26614300283287723
Plantae,Tracheophyta,A,Liliopsida,Poales,Cyperaceae,Cyperaceae,Eleocharis,Eleocharis,geniculata,Eleocharis geniculata,Eleocharis geniculata,Eleocharis_geniculata,1,NO,Eleocharis geniculata,Eleocharis geniculata,non-woody,herbaceous graminoid,broadleaved,837.2845658724605,18.973823546944903,53.42959690580745,0.375,0.11,0.3112750895616335,0.3103935748790237,0.2758003214863125,0.284640429649966
Plantae,Tracheophyta,A,Liliopsida,Poales,Cyperaceae,Cyperaceae,Scleria,Scleria,triglomerata,Scleria triglomerata,Scleria triglomerata,Scleria_triglomerata,1,NO,Scleria triglomerata,Scleria triglomerata,non-woody,herbaceous graminoid,broadleaved,1442.2723285863663,16.919539073040262,63.858096931666,1,4.9,0.32693179243339054,0.33432807283857596,0.2978373287614384,0.2961203913875444
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Scutellaria,Scutellaria,galericulata,Scutellaria galericulata,Scutellaria galericulata,Scutellaria_galericulata,1,NO,Scutellaria galericulata,Scutellaria galericulata,non-woody,herbaceous non-graminoid,broadleaved,494.54,25.320145828950906,22.24805861,0.234690149,0.7118,0.19920573668021888,0.203665735,0.202590845,0.202590845
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Scutellaria,Scutellaria,lateriflora,Scutellaria lateriflora,Scutellaria lateriflora,Scutellaria_lateriflora,1,NO,Scutellaria lateriflora,Scutellaria lateriflora,non-woody,herbaceous non-graminoid,broadleaved,821.97,18.383329834570628,15.88552911,0.5853788724365653,0.32,0.21735525728512808,0.2351373808070299,0.21613240039308057,0.21947042002206682
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Scutellaria,Scutellaria,parvula,Scutellaria parvula,Scutellaria parvula,Scutellaria_parvula,1,NO,Scutellaria parvula,NA,non-woody,herbaceous non-graminoid,broadleaved,69.2,11.71939474,39.6042506,0.144913767,3.489586509809609,0.3173884276333332,0.32,0.26355,0.26355
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Secale,Secale,cereale,Secale cereale,Secale cereale,Secale_cereale,1,NO,Secale cereale,Secale cereale,non-woody,herbaceous graminoid,broadleaved,1717.9038895335768,25.47546328,51.160775457538314,1.272720566,26.3882,0.3723195885088575,0.32818302645173963,0.30278823703012114,0.31580329926880707
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Secale,Secale,vavilovii,Secale vavilovii,Secale vavilovii,Secale_vavilovii,1,NO,NA,NA,non-woody,herbaceous graminoid,broadleaved,906.1947861729227,16.345751757437924,57.07424745384558,0.850067192606744,2.2825586821781405,0.3437261686150478,0.32582342474709514,0.2896213159615052,0.29297776776635154
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Packera,Packera,aurea,Packera aurea,Packera aurea,Packera_aurea,1,NO,Packera aurea,NA,non-woody,herbaceous non-graminoid,broadleaved,1649.077167765104,17.653399729069918,71.46222004758452,1.18,1,0.276409620133928,0.29106556706543485,0.25039789668182194,0.25434683106708
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Packera,Packera,paupercula,Packera paupercula,Packera paupercula,Packera_paupercula,1,NO,Packera paupercula,Packera paupercula,non-woody,herbaceous non-graminoid,broadleaved,132.34,20.13918223338733,34.69071776,0.506392365,0.25,0.1900262823869575,0.154272486,0.176708783,0.176708783
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Setaria,Setaria,italica,Setaria italica,Setaria italica,Setaria_italica,1,NO,Setaria italica,Setaria italica,non-woody,herbaceous graminoid,broadleaved,5638.5,14.93452376,41.82350481,0.824186148,2.2444,0.2139180174257075,0.2,0.18029,0.18029
